failure,run,e2_tsi,e2_tti,m1_pv,r1_t2,snk1_t,srce1_t,srcr1_t,xc1_sp,k1_p1,k1_p2,snk1_p,srce1_p,srcr1_p,m2_pv,srce1_w,xc2_sp,r1_xmax,r1_tau,snk1_z_c2h4o,snk1_z_c2h4,srcr1_m_c2h4,srcr1_m_o2,xv1_pos,xv2_pos,xv3_pos
lowPressure_source,68,20.002394485167372,493.76629603556046,150.0,217.15144332946863,217.15144332946863,20.0,25.0,150.0,0.22773500963029,22.099999999999977,1.6078166151936488,1.5,0.72773500963029,99.4177777777775,100.0,99.4177777777775,0.2994442979690498,1.1290591808492985,0.016507649216921116,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,69,20.002394485167372,524.5158940012661,150.0,217.1514433294687,217.15144332946863,20.0,25.0,150.0,0.1744428347274549,22.099999999999977,1.6078166151936488,1.5,0.6744428347274549,99.4177777777775,100.0,99.4177777777775,0.29944429796905014,1.1290591808492985,0.016507649216921133,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,70,20.002394485167372,740.1843711571465,150.0,217.15144332946863,217.15144332946863,20.0,25.0,150.0,0.029680213839224975,22.099999999999977,1.6078166151936488,1.5,0.529680213839225,99.4177777777775,100.0,99.4177777777775,0.2994442979690498,1.1290591808492985,0.01650764921692111,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,71,20.002394485167372,545.9452861405407,150.0,217.1514433294687,217.15144332946863,20.0,25.0,150.0,0.14517807436107993,22.099999999999977,1.6078166151936488,1.5,0.64517807436108,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.016507649216921126,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,72,20.002394485167372,415.34459252261047,150.0,217.15144332946863,217.15144332946858,20.0,25.0,150.0,0.45710727803647194,22.099999999999977,1.6078166151936488,1.5,0.957107278036472,99.4177777777775,100.0,99.4177777777775,0.29944429796904964,1.1290591808492985,0.016507649216921112,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,73,20.002394485167372,433.5921804113966,150.0,217.1514433294687,217.15144332946858,20.0,25.0,150.0,0.38784217304616897,22.099999999999977,1.6078166151936488,1.5,0.887842173046169,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,74,20.002394485167372,480.84342335833276,150.0,217.15144332946863,217.15144332946852,20.0,25.0,150.0,0.2550132541683049,22.099999999999977,1.6078166151936488,1.5,0.755013254168305,99.4177777777775,100.0,99.4177777777775,0.29944429796904964,1.1290591808492985,0.016507649216921116,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,75,20.002394485167372,413.11415229092984,150.0,217.1514433294687,217.15144332946852,20.0,25.0,150.0,0.466424499836701,22.099999999999977,1.6078166151936488,1.5,0.9664244998367011,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.01650764921692113,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,76,20.002394485167372,524.2309654528724,150.0,217.15144332946863,217.15144332946852,20.0,25.0,150.0,0.17487135022114395,22.099999999999977,1.6078166151936488,1.5,0.674871350221144,99.4177777777775,100.0,99.4177777777775,0.2994442979690495,1.1290591808492985,0.016507649216921105,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,77,20.002394485167372,432.2690715152594,150.0,217.1514433294687,217.15144332946852,20.0,25.0,150.0,0.3924729814550789,22.099999999999977,1.6078166151936488,1.5,0.892472981455079,99.4177777777775,100.0,99.4177777777775,0.2994442979690499,1.1290591808492985,0.01650764921692112,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,78,20.002394485167372,699.8473897495654,150.0,217.15144332946863,217.15144332946846,20.0,25.0,150.0,0.04081605410195692,22.099999999999977,1.6078166151936488,1.5,0.540816054101957,99.4177777777775,100.0,99.4177777777775,0.29944429796904964,1.1290591808492985,0.01650764921692111,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,79,20.002394485167372,491.58078506282004,150.0,217.1514433294687,217.15144332946846,20.0,25.0,150.0,0.23212355328108494,22.099999999999977,1.6078166151936488,1.5,0.732123553281085,99.4177777777775,100.0,99.4177777777775,0.29944429796905014,1.1290591808492985,0.016507649216921133,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,80,20.002394485167372,414.8955597200227,150.0,217.15144332946863,217.15144332946858,20.0,25.0,150.0,0.45896718971137285,22.099999999999977,1.6078166151936488,1.5,0.9589671897113728,99.4177777777775,100.0,99.4177777777775,0.2994442979690498,1.1290591808492985,0.016507649216921112,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,81,20.002394485167372,870.7871660453258,150.0,217.1514433294687,217.15144332946846,20.0,25.0,150.0,0.010985833810649907,22.099999999999977,1.6078166151936488,1.5,0.51098583381065,99.4177777777775,100.0,99.4177777777775,0.2994442979690499,1.1290591808492985,0.01650764921692112,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
